,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,12,15.0,84.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,92.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15,13.0,97.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,104.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,18.0,78.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,93.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13,16.0,85.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,93.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16,18.0,106.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,117.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,18.0,81.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,87.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13,21.0,85.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,92.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,18.0,79.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,86.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,18.0,59.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,75.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,15.0,56.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,65.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0
